"","genes","A","phase","offset","peak","R2","pvalue","qvalue","peak_CI_left","peak_CI_right"
"ENSG00000120820","ENSG00000120820",0.0423026265876499,3.13591783710887,3.10464358871542,2.86408216289113,0.0157176967341327,0.655971653916859,0.799912503977092,-4.3865611507138,10.440962209123
"ENSG00000120832","ENSG00000120832",0.0370727992108645,15.5991245256131,5.10328400972903,14.4008754743869,0.0482622884250308,0.274989622249896,0.551223250674303,13.0055372287142,17.7610182877669
"ENSG00000120833","ENSG00000120833",0.174262662613949,11.5996830777837,2.97248824874475,-5.5996830777837,0.074099425248187,0.135198363280555,0.419998895393792,14.3172607961135,-3.96406312392778
"ENSG00000120837","ENSG00000120837",0.0862618888934372,13.5007886167419,5.97238321607073,16.4992113832581,0.0806701889624354,0.112764632627646,0.393701357840702,14.10147694291,-5.34942359205872
"ENSG00000120860","ENSG00000120860",0.052010508501423,12.2717026551685,5.08119986548001,17.7282973448315,0.0306157254144728,0.441964656348218,0.663147920781509,14.1082244298391,-3.77378776132657
"ENSG00000120868","ENSG00000120868",0.0909067266012684,11.7138924216224,4.76639952084259,-5.71389242162239,0.107562869739874,0.0523068255944968,0.297979797979798,10.6737513483715,-3.52400908046847
"ENSG00000120875","ENSG00000120875",0.183583704524931,19.8545389882047,3.10393834215999,10.1454610117953,0.107037278777362,0.053255648461128,0.300140322742307,9.23045109079415,14.4621314838427
"ENSG00000120885","ENSG00000120885",0.0685199362861287,3.60667782389109,10.3245584606442,2.39332217610891,0.0455257833127164,0.295792563600783,0.565046728971963,-1.9104350326439,5.7876670527016
"ENSG00000120889","ENSG00000120889",0.0819046249639334,17.5784408442856,2.67723584292285,12.4215591557144,0.0184859146387863,0.609485263594853,0.772693441193276,5.81129834507423,17.6588804213643
"ENSG00000120896","ENSG00000120896",0.0975694993054886,23.2595610441069,2.85282380685337,6.74043895589308,0.0145098516458178,0.677207495700646,0.811943237805442,1.11617552135436,11.0336672489882
"ENSG00000120899","ENSG00000120899",0.159437582222656,3.67856798045783,7.04167999451075,2.32143201954217,0.127685035475345,0.0290725256478681,0.231643356643357,1.3366582355382,4.58631749872123
"ENSG00000120907","ENSG00000120907",0.145359293793583,10.609742070451,3.90482130741071,-4.60974207045103,0.0205538793748049,0.577349819130641,0.754734606231153,14.727242014955,2.65000724386095
"ENSG00000120910","ENSG00000120910",0.0569313782706504,12.4900293027685,4.70245319670252,17.5099706972315,0.0653675243618661,0.17213129336417,0.457373562312904,10.9613943637716,-5.5966153859554
"ENSG00000120913","ENSG00000120913",0.143424675989085,5.45143961388678,2.08286235789937,0.54856038611322,0.10428927732221,0.0574304690743047,0.308756567425569,-1.23139831942202,3.30277104995132
"ENSG00000120915","ENSG00000120915",0.0900840122982198,1.56980571511564,4.2097774134298,4.43019428488436,0.0408012051045326,0.336064164146356,0.592288559813563,0.744635933543478,7.25913940576165
"ENSG00000120925","ENSG00000120925",0.0871280558502591,12.7509900110004,5.95354932446737,17.2490099889996,0.164014002713023,0.0105526893198126,0.15638998682477,15.8593786992751,-5.46803937751701
"ENSG00000120937","ENSG00000120937",0.373510756463951,8.70719690974621,1.33048226096396,-2.70719690974621,0.0867936044887508,0.0950335053074779,0.36863958410011,-5.38145287975157,-1.55179801955193
"ENSG00000120942","ENSG00000120942",0.0597993209596463,21.7802114981908,3.79824667009798,8.21978850180923,0.022724394764796,0.545125422522683,0.732728866924395,0.461691815742917,10.9833174291636
"ENSG00000120948","ENSG00000120948",0.191265096672184,16.8449021046321,5.36334381235129,13.1550978953679,0.299791983579425,0.00097550850975503,0.0916973200210239,11.0882334032987,14.0710017142311
"ENSG00000120949","ENSG00000120949",0.356282948927272,3.08375336718966,1.72768980441508,2.91624663281034,0.0691737277705609,0.155058411907727,0.43921756366324,-2.42493913128827,4.64113560605403
"ENSG00000120963","ENSG00000120963",0.0729756590211047,17.8316471341875,6.98099257541489,12.1683528658125,0.0605225910702416,0.196195813319101,0.48202062276077,7.09980309824915,14.8340307222924
"ENSG00000120992","ENSG00000120992",0.0897833069641531,13.7328773496151,5.01055230451247,16.2671226503849,0.101379427739665,0.0624473699816166,0.316678194448621,12.6490129396595,-5.45105234737143
"ENSG00000121005","ENSG00000121005",0.0887012071035201,10.4354828667129,3.6583350213036,-4.43548286671287,0.0114979916024446,0.73363873569353,0.84585381528301,12.3715685508299,-0.997007959736614
"ENSG00000121022","ENSG00000121022",0.0680832112915667,11.9751575946324,5.82072648333973,-5.97515759463241,0.0463297179167488,0.289648935539346,0.561896163047479,12.1070755224997,-2.90880308123632
"ENSG00000121039","ENSG00000121039",0.0343198435993872,6.15696447286304,4.49277475820282,-0.156964472863041,0.00410270237114529,0.893515388720868,0.939305637797239,-5.94083069165691,8.98033550305612
"ENSG00000121057","ENSG00000121057",0.0911610360547751,23.5190403755735,5.86351762775238,6.4809596244265,0.125321874886404,0.0310116823815454,0.238944723618091,2.63723134897349,7.83580588397132
"ENSG00000121058","ENSG00000121058",0.10750753123559,13.6121604521523,4.25264126691741,16.3878395478477,0.165712250073225,0.0101553697444109,0.153347635648521,13.8548327065179,17.1906102236354
"ENSG00000121060","ENSG00000121060",0.0659253913960419,1.01740155943447,4.61889672030586,4.98259844056553,0.0190360980852728,0.600886556366008,0.767696550470115,2.01816986209322,10.8303226241265
"ENSG00000121064","ENSG00000121064",0.0692969784282243,13.8145261827944,4.2355421843049,16.1854738172056,0.0173784569214082,0.62770266263417,0.784436440709368,10.0628857478784,-4.6635805667966
"ENSG00000121067","ENSG00000121067",0.0684744877587061,12.9657725340017,6.18108335315554,17.0342274659983,0.0997855560981104,0.0657385993002432,0.322648702130136,13.0702225492831,-5.16927872089045
"ENSG00000121068","ENSG00000121068",0.0770752700499717,21.3381857188973,1.72489349281011,8.66181428110271,0.0169060201485786,0.635637193856372,0.789330496182363,4.26544163017508,11.2781296344377
"ENSG00000121073","ENSG00000121073",0.0956417579963262,9.67084204547047,4.83803027830467,-3.67084204547047,0.0698676457306628,0.152087410306588,0.436743346557919,17.5060393536604,2.77646669876588
"ENSG00000121104","ENSG00000121104",0.0297702467429454,23.6656133032327,2.64564374867504,6.33438669676731,0.00355674011201468,0.906870070568701,0.946508590810061,-4.78428788598115,11.7043874708303
"ENSG00000121207","ENSG00000121207",0.081799670155483,1.6515621461054,3.63986699957338,4.3484378538946,0.00896944217362228,0.784715056632865,0.87718257387938,-5.17118733687621,6.06236737611337
"ENSG00000121210","ENSG00000121210",0.170539343401873,22.6175273104026,4.84493379031747,7.38247268959741,0.089985205047346,0.0865711913657119,0.357911640678631,2.60840235087169,8.97075429617469
"ENSG00000121274","ENSG00000121274",0.104491413462383,15.106177521418,5.1975358972491,14.893822478582,0.22662827249133,0.00282571309968571,0.103393085787452,13.9697572756892,15.8930253522985
"ENSG00000121281","ENSG00000121281",0.12738872015769,11.387133284932,3.83796975236166,-5.38713328493198,0.0584644691970637,0.207901915436162,0.492339989327941,13.0778770545654,-0.879254884374681
"ENSG00000121289","ENSG00000121289",0.052092098862438,0.205965741929657,4.60232665906487,5.79403425807034,0.0233231449588357,0.536698689438415,0.727517884414436,-0.6416807883484,8.93264228761342
"ENSG00000121297","ENSG00000121297",0.0292181320550543,9.39059720422065,3.05775318647003,-3.39059720422065,0.00225201750895265,0.939800154183716,0.96484974307771,11.1728114886989,4.01377823774961
"ENSG00000121310","ENSG00000121310",0.0869120734443827,22.8988787406313,5.23096309722872,7.10112125936871,0.0171216824976742,0.632090968392338,0.786998958971671,2.46391494079055,11.8371699784171
"ENSG00000121316","ENSG00000121316",0.12994344719919,12.8808686285066,1.46795777714891,17.1191313714934,0.0376708124477965,0.366408705449801,0.614153231417609,12.9787427835952,-4.61015683268889
"ENSG00000121350","ENSG00000121350",0.0885858628230942,14.6074115985982,4.57467103063087,15.3925884014019,0.0747095672735951,0.133229555832296,0.417756001413191,12.0313721649249,-5.89185210310482
"ENSG00000121361","ENSG00000121361",0.0694068538228935,8.05654368938318,2.29346697923421,-2.05654368938318,0.0221097676429282,0.553990986182767,0.737891029134188,-4.20362824307884,3.91803056741297
"ENSG00000121390","ENSG00000121390",0.0270542562228297,14.6400379123943,6.18745420160674,15.3599620876057,0.0326763343707915,0.418599893257428,0.647149693791485,12.018011889403,17.542015392318
"ENSG00000121406","ENSG00000121406",0.0690561078336972,23.3340774989774,4.82063288384167,6.66592250102255,0.0415102319408275,0.329825653798257,0.588823485818944,3.49965465149434,10.005476573998
"ENSG00000121413","ENSG00000121413",0.0702373216245038,4.19818176506196,6.89379720636382,1.80181823493804,0.140373753305893,0.0202781237027813,0.198370825602969,-1.5723887399399,3.11915164110806
